rakympltk,Rakennus- ja ympäristölautakunta,
karltk,Kaupunkirakennelautakunta,
altek,Altek Aluetekniikka -liikelaitoksen johtokunta,
kh,Kaupunginhallitus,"<p>Kaupunginhallitus johtaa kaupungin hallintoa, valmistelee kaupunginvaltuustossa käsiteltävät asiat ja huolehtii valtuuston päätösten täytäntöönpanosta sekä valvoo kaupungin etua ja edustaa kaupunkia.</p><p>Kaupunginhallitus tekee kaupungin puolesta sopimukset ja muut oikeustoimet, jollei toisin ole määrätty.</p><p>Lisäksi kaupunginhallituksen tehtävänä on huolehtia kaupungin yleisestä kehittämisestä, johtaa ja valvoa kaupungin toimialojen ja viranhaltijoiden toimintaa sekä kaupungin taloushallintoa.</p><p>Kaupunginhallituksen on vuosittain viimeistään toukokuussa annettava valtuuston käsiteltäväksi tilinpäätös- ja toimintakertomus. Kaupunginhallituksen on myös vuosittain tehtävä kaupungin talousarvioehdotus seuraavaksi vuodeksi.</p><p>Kaupunginhallitus voi määrätä kaupungin muihin toimielimiin edustajansa, jolla on läsnäolo- ja puheoikeus toimielimen kokouksessa.</p><p>Kaupunginhallitukselle asiat esittelee kaupunginjohtaja.</p>"
kv,Kaupunginvaltuusto,"<p>Kaupunginvaltuusto on kaupungin ylin päättävä toimielin. Se valitaan kunnallisvaaleilla joka neljäs vuosi.</p><p>Kaupunginvaltuusto päättää kaupungin talouden ja rahoituksen perusteista, veroprosenteista, maksujen yleisistä perusteista, lainanotosta ja takauksista. Valtuusto myös asettaa hallintokunnille laadulliset ja toiminnalliset tavoitteet. Valtuusto päättää kaupungin hallinnon rakenteesta: lautakunnista, virastoista ja laitoksista sekä niiden toimivallasta ja hyväksyy tarvittavat johtosäännöt. Valtuusto valitsee luottamushenkilöt ja tärkeimmät viranhaltijat. Kaupungin asioiden hoitoa valtuusto seuraa tilinpäätöksen ja toimintakertomuksen sekä tarkastuslautakunnan arviointikertomuksen avulla.</p>"
klltk,Kulttuuri- ja liikuntalautakunta,
ptltk,Perusturvalautakunta,
sivltk,Sivistyslautakunta,
kktmk,Kaupunkikuvatoimikunta,
tarkltk,Tarkastuslautakunta,
kvaaliltk,Keskusvaalilautakunta,
pelajk,Keski-Suomen pelastuslaitoksen johtokunta,
kattaus,Kylän Kattauksen johtokunta,
tilajk,Tilapalvelun johtokunta,
tyo,Työterveys Aalto -liikelaitoksen johtokunta,
talousjk,Talouskeskuksen johtokunta,
jlj,Joukkoliikennejaosto,
ptthj,Perusturvalautakunnan terveydenhuollon jaosto,
pttj,Perusturvalautakunnan työllisyysjaosto,
ytj,Ympäristöterveysjaosto,
hvptmk,Hyvinvointipoliittisen toimikunta,
vammais,Vammaisneuvosto,
vanhus,Vanhusneuvosto,
